s,C,C
Time,"Back","Front"
 2.3814000E+005, 1.2200447E+002, 1.4791147E+002
 2.3877000E+005, 1.2213575E+002, 1.4792126E+002
 2.3940000E+005, 1.2226641E+002, 1.4793101E+002
 2.4003000E+005, 1.2239646E+002, 1.4794071E+002
 2.4066000E+005, 1.2252590E+002, 1.4795037E+002
 2.4129000E+005, 1.2265474E+002, 1.4795998E+002
 2.4192000E+005, 1.2278297E+002, 1.4796954E+002
 2.4255000E+005, 1.2291060E+002, 1.4797906E+002
 2.4318000E+005, 1.2303763E+002, 1.4798854E+002
 2.4381000E+005, 1.2316406E+002, 1.4799797E+002
 2.4444000E+005, 1.2328990E+002, 1.4800736E+002
 2.4507000E+005, 1.2341515E+002, 1.4801671E+002
 2.4570000E+005, 1.2353982E+002, 1.4802601E+002
 2.4633000E+005, 1.2366390E+002, 1.4803526E+002
 2.4696000E+005, 1.2378740E+002, 1.4804448E+002
 2.4759000E+005, 1.2391031E+002, 1.4805365E+002
 2.4822000E+005, 1.2403266E+002, 1.4806277E+002
 2.4885000E+005, 1.2415443E+002, 1.4807186E+002
 2.4948000E+005, 1.2427562E+002, 1.4808090E+002
 2.5011000E+005, 1.2439625E+002, 1.4808990E+002
 2.5074000E+005, 1.2451632E+002, 1.4809886E+002
 2.5137000E+005, 1.2463582E+002, 1.4810777E+002
 2.5200000E+005, 1.2475476E+002, 1.4811664E+002
 2.5263000E+005, 1.2487314E+002, 1.4812548E+002
 2.5326000E+005, 1.2499097E+002, 1.4813427E+002
 2.5389000E+005, 1.2510824E+002, 1.4814302E+002
 2.5452000E+005, 1.2522497E+002, 1.4815172E+002
 2.5515000E+005, 1.2534114E+002, 1.4816039E+002
 2.5578000E+005, 1.2545678E+002, 1.4816902E+002
 2.5641000E+005, 1.2557187E+002, 1.4817760E+002
 2.5704000E+005, 1.2568642E+002, 1.4818615E+002
 2.5767000E+005, 1.2580043E+002, 1.4819465E+002
 2.5830000E+005, 1.2591391E+002, 1.4820312E+002
 2.5893000E+005, 1.2602686E+002, 1.4821155E+002
 2.5956000E+005, 1.2613927E+002, 1.4821993E+002
 2.6019000E+005, 1.2625116E+002, 1.4822828E+002
 2.6082000E+005, 1.2636253E+002, 1.4823659E+002
 2.6145000E+005, 1.2647337E+002, 1.4824486E+002
 2.6208000E+005, 1.2658369E+002, 1.4825309E+002
 2.6271000E+005, 1.2669350E+002, 1.4826128E+002
 2.6334000E+005, 1.2680279E+002, 1.4826943E+002
 2.6397000E+005, 1.2691157E+002, 1.4827755E+002
 2.6460000E+005, 1.2701984E+002, 1.4828563E+002
 2.6523000E+005, 1.2712760E+002, 1.4829366E+002
 2.6586000E+005, 1.2723485E+002, 1.4830167E+002
 2.6649000E+005, 1.2734161E+002, 1.4830963E+002
 2.6712000E+005, 1.2744786E+002, 1.4831756E+002
 2.6775000E+005, 1.2755361E+002, 1.4832545E+002
 2.6838000E+005, 1.2765887E+002, 1.4833330E+002
 2.6901000E+005, 1.2776363E+002, 1.4834111E+002
 2.6964000E+005, 1.2786791E+002, 1.4834889E+002
 2.7027000E+005, 1.2797169E+002, 1.4835664E+002
 2.7090000E+005, 1.2807499E+002, 1.4836434E+002
 2.7153000E+005, 1.2817780E+002, 1.4837201E+002
 2.7216000E+005, 1.2828013E+002, 1.4837965E+002
 2.7279000E+005, 1.2838198E+002, 1.4838724E+002
 2.7342000E+005, 1.2848336E+002, 1.4839481E+002
 2.7405000E+005, 1.2858425E+002, 1.4840233E+002
 2.7468000E+005, 1.2868468E+002, 1.4840983E+002
 2.7531000E+005, 1.2878463E+002, 1.4841728E+002
 2.7594000E+005, 1.2888412E+002, 1.4842471E+002
 2.7657000E+005, 1.2898314E+002, 1.4843209E+002
 2.7720000E+005, 1.2908169E+002, 1.4843944E+002
 2.7783000E+005, 1.2917978E+002, 1.4844676E+002
 2.7846000E+005, 1.2927742E+002, 1.4845405E+002
 2.7909000E+005, 1.2937459E+002, 1.4846130E+002
 2.7972000E+005, 1.2947131E+002, 1.4846851E+002
 2.8035000E+005, 1.2956757E+002, 1.4847569E+002
 2.8098000E+005, 1.2966339E+002, 1.4848284E+002
 2.8161000E+005, 1.2975875E+002, 1.4848995E+002
 2.8224000E+005, 1.2985367E+002, 1.4849704E+002
 2.8287000E+005, 1.2994814E+002, 1.4850408E+002
 2.8350000E+005, 1.3004217E+002, 1.4851110E+002
 2.8413000E+005, 1.3013576E+002, 1.4851808E+002
 2.8476000E+005, 1.3022891E+002, 1.4852503E+002
 2.8539000E+005, 1.3032162E+002, 1.4853195E+002
 2.8602000E+005, 1.3041390E+002, 1.4853883E+002
 2.8665000E+005, 1.3050574E+002, 1.4854568E+002
 2.8728000E+005, 1.3059716E+002, 1.4855250E+002
 2.8791000E+005, 1.3068814E+002, 1.4855929E+002
 2.8854000E+005, 1.3077870E+002, 1.4856605E+002
 2.8917000E+005, 1.3086884E+002, 1.4857277E+002
 2.8980000E+005, 1.3095855E+002, 1.4857946E+002
 2.9043000E+005, 1.3104784E+002, 1.4858612E+002
 2.9106000E+005, 1.3113671E+002, 1.4859275E+002
 2.9169000E+005, 1.3122517E+002, 1.4859935E+002
