s,C,C
Time,"Back","Front"
 5.4100000E+002, 8.6253007E+001, 1.1136839E+002
 5.4300000E+002, 8.6434224E+001, 1.1141475E+002
 5.4500000E+002, 8.6594473E+001, 1.1145575E+002
 5.4700000E+002, 8.6753957E+001, 1.1149654E+002
 5.4950000E+002, 8.6932449E+001, 1.1154220E+002
 5.5150000E+002, 8.7110019E+001, 1.1158763E+002
 5.5350000E+002, 8.7267043E+001, 1.1162780E+002
 5.5600000E+002, 8.7442782E+001, 1.1167275E+002
 5.5800000E+002, 8.7617612E+001, 1.1171747E+002
 5.6000000E+002, 8.7772213E+001, 1.1175702E+002
 5.6200000E+002, 8.7926077E+001, 1.1179638E+002
 5.6450000E+002, 8.8098278E+001, 1.1184043E+002
 5.6650000E+002, 8.8269589E+001, 1.1188425E+002
 5.6850000E+002, 8.8421079E+001, 1.1192300E+002
 5.7100000E+002, 8.8590623E+001, 1.1196637E+002
 5.7300000E+002, 8.8759291E+001, 1.1200951E+002
 5.7500000E+002, 8.8908443E+001, 1.1204767E+002
 5.7750000E+002, 8.9075372E+001, 1.1209036E+002
 5.7950000E+002, 8.9241437E+001, 1.1213284E+002
 5.8150000E+002, 8.9388288E+001, 1.1217041E+002
 5.8350000E+002, 8.9534437E+001, 1.1220779E+002
 5.8600000E+002, 8.9698005E+001, 1.1224963E+002
 5.8800000E+002, 8.9860728E+001, 1.1229125E+002
 5.9000000E+002, 9.0004622E+001, 1.1232806E+002
 5.9250000E+002, 9.0165667E+001, 1.1236925E+002
 5.9450000E+002, 9.0325878E+001, 1.1241023E+002
 5.9650000E+002, 9.0467552E+001, 1.1244647E+002
 5.9850000E+002, 9.0608550E+001, 1.1248253E+002
 6.0100000E+002, 9.0766352E+001, 1.1252290E+002
 6.0300000E+002, 9.0923338E+001, 1.1256305E+002
 6.0500000E+002, 9.1062160E+001, 1.1259856E+002
 6.0750000E+002, 9.1217527E+001, 1.1263830E+002
 6.0950000E+002, 9.1372091E+001, 1.1267783E+002
 6.1150000E+002, 9.1508771E+001, 1.1271279E+002
 6.1350000E+002, 9.1644798E+001, 1.1274759E+002
 6.1600000E+002, 9.1797037E+001, 1.1278653E+002
 6.1800000E+002, 9.1948489E+001, 1.1282526E+002
 6.2000000E+002, 9.2082417E+001, 1.1285952E+002
 6.2250000E+002, 9.2232307E+001, 1.1289786E+002
 6.2450000E+002, 9.2381422E+001, 1.1293600E+002
 6.2650000E+002, 9.2513283E+001, 1.1296973E+002
 6.2850000E+002, 9.2644515E+001, 1.1300329E+002
 6.3100000E+002, 9.2791387E+001, 1.1304086E+002
 6.3300000E+002, 9.2937500E+001, 1.1307823E+002
 6.3500000E+002, 9.3066706E+001, 1.1311128E+002
 6.3750000E+002, 9.3211312E+001, 1.1314827E+002
 6.3950000E+002, 9.3355169E+001, 1.1318506E+002
 6.4150000E+002, 9.3482382E+001, 1.1321760E+002
 6.4350000E+002, 9.3608987E+001, 1.1324998E+002
 6.4600000E+002, 9.3750681E+001, 1.1328622E+002
 6.4800000E+002, 9.3891643E+001, 1.1332228E+002
 6.5000000E+002, 9.4016294E+001, 1.1335416E+002
 6.5250000E+002, 9.4155802E+001, 1.1338984E+002
 6.5450000E+002, 9.4294588E+001, 1.1342534E+002
 6.5650000E+002, 9.4417315E+001, 1.1345673E+002
 6.5900000E+002, 9.4554670E+001, 1.1349186E+002
 6.6100000E+002, 9.4691314E+001, 1.1352681E+002
 6.6300000E+002, 9.4812148E+001, 1.1355772E+002
 6.6500000E+002, 9.4932404E+001, 1.1358848E+002
 6.6750000E+002, 9.5066993E+001, 1.1362290E+002
 6.6950000E+002, 9.5200886E+001, 1.1365715E+002
 6.7150000E+002, 9.5319287E+001, 1.1368743E+002
 6.7400000E+002, 9.5451799E+001, 1.1372133E+002
 6.7600000E+002, 9.5583626E+001, 1.1375504E+002
 6.7800000E+002, 9.5700199E+001, 1.1378486E+002
 6.8000000E+002, 9.5816216E+001, 1.1381453E+002
 6.8250000E+002, 9.5946060E+001, 1.1384774E+002
 6.8450000E+002, 9.6075233E+001, 1.1388078E+002
 6.8650000E+002, 9.6189459E+001, 1.1391000E+002
 6.8900000E+002, 9.6317299E+001, 1.1394270E+002
 6.9100000E+002, 9.6444478E+001, 1.1397522E+002
 6.9300000E+002, 9.6556941E+001, 1.1400399E+002
 6.9500000E+002, 9.6668868E+001, 1.1403262E+002
 6.9750000E+002, 9.6794134E+001, 1.1406466E+002
 6.9950000E+002, 9.6918753E+001, 1.1409653E+002
 7.0150000E+002, 9.7028952E+001, 1.1412472E+002
 7.0400000E+002, 9.7152285E+001, 1.1415626E+002
 7.0600000E+002, 9.7274980E+001, 1.1418764E+002
 7.0800000E+002, 9.7383478E+001, 1.1421539E+002
 7.1000000E+002, 9.7491458E+001, 1.1424301E+002
 7.1250000E+002, 9.7612308E+001, 1.1427392E+002
 7.1450000E+002, 9.7732533E+001, 1.1430467E+002
 7.1650000E+002, 9.7838847E+001, 1.1433186E+002
 7.1900000E+002, 9.7957831E+001, 1.1436230E+002
 7.2100000E+002, 9.8076201E+001, 1.1439257E+002
 7.2300000E+002, 9.8180874E+001, 1.1441934E+002
 7.2550000E+002, 9.8298022E+001, 1.1444931E+002
 7.2750000E+002, 9.8414564E+001, 1.1447911E+002
 7.2950000E+002, 9.8517622E+001, 1.1450547E+002
 7.3150000E+002, 9.8620188E+001, 1.1453171E+002
 7.3400000E+002, 9.8734977E+001, 1.1456107E+002
 7.3600000E+002, 9.8849173E+001, 1.1459027E+002
 7.3800000E+002, 9.8950156E+001, 1.1461610E+002
 7.4050000E+002, 9.9063174E+001, 1.1464501E+002
 7.4250000E+002, 9.9175607E+001, 1.1467377E+002
 7.4450000E+002, 9.9275031E+001, 1.1469920E+002
 7.4650000E+002, 9.9373981E+001, 1.1472450E+002
 7.4900000E+002, 9.9484723E+001, 1.1475283E+002
