s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 3.8035873E-001, 9.0066722E+000,-3.2590884E+000, 4.6209316E-002,-1.4394916E-001, 6.3656731E-002, 0.0000000E+000, 0.0000000E+000, 1.6709031E+000, 5.7135007E+000, 2.9006472E-004, 2.9006472E-004
 4.1964245E-001, 3.6901331E+000,-3.0539773E+000, 3.4613245E-001,-2.1059919E-001, 8.0815605E-002, 0.0000000E+000, 0.0000000E+000, 5.6117110E+000, 8.5250466E-001, 3.1692044E-004, 3.1692044E-004
 4.4842806E-001, 4.9916627E+000,-1.1531943E+000, 6.1322988E-002,-1.0289766E-001, 8.5594567E-002, 0.0000000E+000, 0.0000000E+000, 9.6049501E-001, 3.8824883E+000, 3.3607877E-004, 3.3607877E-004
 4.8657435E-001, 7.0520757E+000,-2.2650088E+000, 2.2368350E-001,-6.2491446E-002, 9.8357389E-002, 0.0000000E+000, 0.0000000E+000, 3.9675430E+000, 5.0466163E+000, 3.5464011E-004, 3.5464011E-004
 5.2413428E-001, 7.7746412E+000,-2.1062212E+000, 3.9394696E-001,-3.6060310E-002, 1.1593478E-001, 0.0000000E+000, 0.0000000E+000, 5.9496850E+000, 6.1422415E+000, 3.7842368E-004, 3.7842368E-004
 5.7098186E-001, 9.7606540E+000,-2.5483661E+000, 4.1103571E-001, 2.8950191E-003, 1.3291113E-001, 0.0000000E+000, 0.0000000E+000, 7.1783234E+000, 7.7591297E+000, 4.0308899E-004, 4.0308899E-004
 6.0971326E-001, 1.2313829E+001,-3.4510941E+000, 4.8832840E-001, 1.0069167E-002, 1.5110278E-001, 0.0000000E+000, 0.0000000E+000, 8.8882686E+000, 9.5122355E+000, 4.2726632E-004, 4.2726632E-004
 6.4844459E-001, 1.4719794E+001,-4.1992079E+000, 5.3764919E-001,-3.4182184E-003, 1.7698776E-001, 0.0000000E+000, 0.0000000E+000, 1.0622928E+001, 1.1231805E+001, 4.4890438E-004, 4.4890438E-004
 6.8242753E-001, 1.8966010E+001,-5.0241981E+000, 5.7563959E-001,-3.2754181E-002, 2.0287940E-001, 0.0000000E+000, 0.0000000E+000, 1.3240898E+001, 1.4687577E+001, 4.6800256E-004, 4.6800256E-004
 7.2290015E-001, 2.3237357E+001,-6.3190189E+000, 7.2829933E-001,-7.6235066E-002, 2.2585898E-001, 0.0000000E+000, 0.0000000E+000, 1.7117032E+001, 1.7796262E+001, 4.8678504E-004, 4.8678504E-004
 7.6129115E-001, 2.5967519E+001,-6.8890373E+000, 7.7908197E-001,-6.6121050E-002, 2.4391717E-001, 0.0000000E+000, 0.0000000E+000, 1.9707692E+001, 2.0035360E+001, 5.0553989E-004, 5.0553989E-004
 8.0577278E-001, 2.6441636E+001,-7.0357932E+000, 8.2001802E-001, 8.5053264E-003, 2.6067719E-001, 0.0000000E+000, 0.0000000E+000, 2.0298763E+001, 2.0495043E+001, 5.2479539E-004, 5.2479539E-004
 8.4024328E-001, 2.7952544E+001,-6.9165554E+000, 8.9552873E-001, 2.4574778E-002, 2.7665988E-001, 0.0000000E+000, 0.0000000E+000, 2.1757103E+001, 2.2232752E+001, 5.4217801E-004, 5.4217801E-004
 8.8188255E-001, 2.8112402E+001,-7.1517537E+000, 9.6250576E-001,-2.4413541E-004, 2.7313985E-001, 0.0000000E+000, 0.0000000E+000, 2.2398204E+001, 2.2196049E+001, 5.5795296E-004, 5.5795296E-004
 9.2082316E-001, 2.8404512E+001,-6.6529192E+000, 1.0279681E+000,-6.6274264E-002, 2.7010052E-001, 0.0000000E+000, 0.0000000E+000, 2.2492443E+001, 2.2983387E+001, 5.7378150E-004, 5.7378150E-004
 9.6050823E-001, 3.4010538E+001,-8.2884464E+000, 1.1384567E+000,-1.7090831E-001, 2.7351846E-001, 0.0000000E+000, 0.0000000E+000, 2.6614191E+001, 2.6963158E+001, 5.8848778E-004, 5.8848778E-004
 1.0022875E+000, 3.4209811E+001,-8.7533201E+000, 1.1991527E+000,-1.7947232E-001, 2.7756811E-001, 0.0000000E+000, 0.0000000E+000, 2.7301094E+001, 2.6753739E+001, 6.0289335E-004, 6.0289335E-004
 1.0400414E+000, 2.2601338E+001,-5.5066354E+000, 1.1309146E+000,-1.1693146E-001, 2.8027162E-001, 0.0000000E+000, 0.0000000E+000, 1.9181435E+001, 1.8388958E+001, 6.1611167E-004, 6.1611167E-004
 1.0815707E+000, 1.5583196E+001,-3.3184368E+000, 1.1049014E+000,-7.1051278E-002, 2.8542638E-001, 0.0000000E+000, 0.0000000E+000, 1.3809114E+001, 1.3584036E+001, 6.2856056E-004, 6.2856056E-004
 1.1231000E+000, 1.4909904E+001,-3.2520452E+000, 1.1236654E+000,-6.1614055E-002, 2.9898732E-001, 0.0000000E+000, 0.0000000E+000, 1.2910012E+001, 1.3018897E+001, 6.4085573E-004, 6.4085573E-004
 1.1633835E+000, 1.7945684E+001,-4.3434434E+000, 1.1794572E+000,-8.2155864E-002, 3.1452857E-001, 0.0000000E+000, 0.0000000E+000, 1.4705733E+001, 1.5014070E+001, 6.5218440E-004, 6.5218440E-004
 1.2024140E+000, 2.3210104E+001,-5.8525118E+000, 1.2705005E+000,-1.0269323E-001, 3.2510198E-001, 0.0000000E+000, 0.0000000E+000, 1.8331503E+001, 1.8850502E+001, 6.6247773E-004, 6.6247773E-004
 1.2423687E+000, 2.9947910E+001,-7.7415781E+000, 1.3934867E+000,-1.0496799E-001, 3.2690577E-001, 0.0000000E+000, 0.0000000E+000, 2.3436850E+001, 2.3821756E+001, 6.7191940E-004, 6.7191940E-004
 1.2812119E+000, 3.3660593E+001,-8.7164004E+000, 1.4835156E+000,-8.5875234E-002, 3.2934955E-001, 0.0000000E+000, 0.0000000E+000, 2.6502141E+001, 2.6671183E+001, 6.8082608E-004, 6.8082608E-004
 1.3224386E+000, 3.6514338E+001,-9.1150902E+000, 1.5639732E+000,-4.5224055E-002, 3.2830222E-001, 0.0000000E+000, 0.0000000E+000, 2.9031328E+001, 2.9246299E+001, 6.8928206E-004, 6.8928206E-004
 1.3630477E+000, 3.4029020E+001,-8.3002883E+000, 1.5863255E+000,-1.1603228E-002, 3.3259467E-001, 0.0000000E+000, 0.0000000E+000, 2.8134938E+001, 2.7636048E+001, 6.9732155E-004, 6.9732155E-004
 1.4002728E+000, 3.1038869E+001,-7.1955863E+000, 1.5701766E+000,-4.9895069E-003, 3.5049932E-001, 0.0000000E+000, 0.0000000E+000, 2.5718766E+001, 2.5758969E+001, 7.0449067E-004, 7.0449067E-004
 1.4422358E+000, 3.2674678E+001,-7.8340628E+000, 1.5920059E+000,-1.7940473E-002, 3.7011977E-001, 0.0000000E+000, 0.0000000E+000, 2.6805631E+001, 2.6784800E+001, 7.1129841E-004, 7.1129841E-004
