s,C,C
Time,"Back","Front"
 1.3545000E+005, 8.9774445E+001, 1.4550550E+002
 1.3608000E+005, 9.0056655E+001, 1.4552663E+002
 1.3671000E+005, 9.0337551E+001, 1.4554765E+002
 1.3734000E+005, 9.0617139E+001, 1.4556858E+002
 1.3797000E+005, 9.0895423E+001, 1.4558940E+002
 1.3860000E+005, 9.1172412E+001, 1.4561013E+002
 1.3923000E+005, 9.1448109E+001, 1.4563076E+002
 1.3986000E+005, 9.1722520E+001, 1.4565128E+002
 1.4049000E+005, 9.1995652E+001, 1.4567171E+002
 1.4112000E+005, 9.2267510E+001, 1.4569205E+002
 1.4175000E+005, 9.2538100E+001, 1.4571228E+002
 1.4238000E+005, 9.2807427E+001, 1.4573242E+002
 1.4301000E+005, 9.3075497E+001, 1.4575247E+002
 1.4364000E+005, 9.3342316E+001, 1.4577242E+002
 1.4427000E+005, 9.3607889E+001, 1.4579227E+002
 1.4490000E+005, 9.3872223E+001, 1.4581203E+002
 1.4553000E+005, 9.4135321E+001, 1.4583170E+002
 1.4616000E+005, 9.4397191E+001, 1.4585127E+002
 1.4679000E+005, 9.4657837E+001, 1.4587075E+002
 1.4742000E+005, 9.4917266E+001, 1.4589014E+002
 1.4805000E+005, 9.5175482E+001, 1.4590943E+002
 1.4868000E+005, 9.5432492E+001, 1.4592864E+002
 1.4931000E+005, 9.5688300E+001, 1.4594775E+002
 1.4994000E+005, 9.5942913E+001, 1.4596677E+002
 1.5057000E+005, 9.6196335E+001, 1.4598570E+002
 1.5120000E+005, 9.6448572E+001, 1.4600455E+002
 1.5183000E+005, 9.6699629E+001, 1.4602330E+002
 1.5246000E+005, 9.6949513E+001, 1.4604197E+002
 1.5309000E+005, 9.7198228E+001, 1.4606054E+002
 1.5372000E+005, 9.7445779E+001, 1.4607903E+002
 1.5435000E+005, 9.7692172E+001, 1.4609744E+002
 1.5498000E+005, 9.7937413E+001, 1.4611575E+002
 1.5561000E+005, 9.8181506E+001, 1.4613398E+002
 1.5624000E+005, 9.8424456E+001, 1.4615212E+002
 1.5687000E+005, 9.8666270E+001, 1.4617018E+002
 1.5750000E+005, 9.8906952E+001, 1.4618815E+002
 1.5813000E+005, 9.9146508E+001, 1.4620604E+002
 1.5876000E+005, 9.9384942E+001, 1.4622384E+002
 1.5939000E+005, 9.9622261E+001, 1.4624156E+002
 1.6002000E+005, 9.9858468E+001, 1.4625920E+002
 1.6065000E+005, 1.0009357E+002, 1.4627675E+002
 1.6128000E+005, 1.0032757E+002, 1.4629422E+002
 1.6191000E+005, 1.0056047E+002, 1.4631161E+002
 1.6254000E+005, 1.0079229E+002, 1.4632891E+002
 1.6317000E+005, 1.0102302E+002, 1.4634614E+002
 1.6380000E+005, 1.0125267E+002, 1.4636328E+002
 1.6443000E+005, 1.0148124E+002, 1.4638034E+002
 1.6506000E+005, 1.0170874E+002, 1.4639732E+002
 1.6569000E+005, 1.0193518E+002, 1.4641422E+002
 1.6632000E+005, 1.0216055E+002, 1.4643105E+002
 1.6695000E+005, 1.0238487E+002, 1.4644779E+002
 1.6758000E+005, 1.0260814E+002, 1.4646445E+002
 1.6821000E+005, 1.0283037E+002, 1.4648104E+002
 1.6884000E+005, 1.0305155E+002, 1.4649755E+002
 1.6947000E+005, 1.0327170E+002, 1.4651398E+002
 1.7010000E+005, 1.0349081E+002, 1.4653033E+002
 1.7073000E+005, 1.0370890E+002, 1.4654661E+002
 1.7136000E+005, 1.0392597E+002, 1.4656281E+002
 1.7199000E+005, 1.0414201E+002, 1.4657893E+002
 1.7262000E+005, 1.0435705E+002, 1.4659498E+002
 1.7325000E+005, 1.0457108E+002, 1.4661095E+002
 1.7388000E+005, 1.0478411E+002, 1.4662685E+002
 1.7451000E+005, 1.0499614E+002, 1.4664267E+002
 1.7514000E+005, 1.0520717E+002, 1.4665842E+002
 1.7577000E+005, 1.0541722E+002, 1.4667409E+002
 1.7640000E+005, 1.0562628E+002, 1.4668969E+002
 1.7703000E+005, 1.0583436E+002, 1.4670522E+002
 1.7766000E+005, 1.0604146E+002, 1.4672068E+002
 1.7829000E+005, 1.0624760E+002, 1.4673606E+002
 1.7892000E+005, 1.0645277E+002, 1.4675137E+002
 1.7955000E+005, 1.0665698E+002, 1.4676660E+002
 1.8018000E+005, 1.0686023E+002, 1.4678177E+002
 1.8081000E+005, 1.0706252E+002, 1.4679686E+002
