s,kg/s,kg/s,C,C,m
Time,"DM_in","DM_out","HGL Temp","CGL Temp","HGL Height"
 1.280E+03, 5.225E-01, 5.183E-01, 1.341E+02, 4.041E+01, 9.907E-01
 1.290E+03, 5.215E-01, 5.350E-01, 1.301E+02, 4.046E+01, 9.898E-01
 1.300E+03, 5.242E-01, 5.331E-01, 1.276E+02, 3.818E+01, 9.574E-01
 1.310E+03, 5.275E-01, 5.291E-01, 1.291E+02, 3.860E+01, 9.729E-01
 1.320E+03, 5.040E-01, 5.286E-01, 1.284E+02, 3.675E+01, 9.594E-01
 1.330E+03, 5.137E-01, 5.273E-01, 1.302E+02, 3.741E+01, 9.786E-01
 1.340E+03, 5.281E-01, 5.321E-01, 1.341E+02, 3.835E+01, 9.811E-01
 1.350E+03, 5.376E-01, 5.312E-01, 1.349E+02, 3.928E+01, 9.922E-01
 1.360E+03, 5.257E-01, 5.462E-01, 1.311E+02, 3.746E+01, 1.004E+00
 1.370E+03, 5.207E-01, 5.262E-01, 1.322E+02, 3.890E+01, 1.053E+00
 1.380E+03, 5.331E-01, 5.311E-01, 1.344E+02, 4.049E+01, 1.010E+00
 1.390E+03, 5.230E-01, 5.255E-01, 1.384E+02, 4.203E+01, 9.444E-01
 1.400E+03, 5.196E-01, 5.269E-01, 1.377E+02, 3.946E+01, 8.756E-01
 1.410E+03, 5.259E-01, 5.499E-01, 1.363E+02, 3.927E+01, 9.093E-01
 1.420E+03, 5.417E-01, 5.255E-01, 1.343E+02, 3.959E+01, 9.961E-01
 1.430E+03, 5.270E-01, 5.198E-01, 1.334E+02, 3.678E+01, 9.910E-01
 1.440E+03, 5.010E-01, 5.400E-01, 1.380E+02, 3.871E+01, 1.002E+00
 1.450E+03, 5.223E-01, 5.256E-01, 1.394E+02, 3.749E+01, 9.342E-01
 1.460E+03, 5.183E-01, 5.265E-01, 1.395E+02, 3.849E+01, 9.548E-01
 1.470E+03, 5.383E-01, 5.305E-01, 1.406E+02, 4.184E+01, 1.073E+00
 1.480E+03, 5.448E-01, 5.444E-01, 1.402E+02, 3.990E+01, 1.099E+00
 1.490E+03, 5.330E-01, 5.406E-01, 1.415E+02, 4.107E+01, 1.111E+00
 1.500E+03, 5.278E-01, 5.322E-01, 1.373E+02, 4.125E+01, 1.067E+00
