s,C,C
Time,"Back","Front"
 1.7325000E+005, 1.0457107E+002, 1.4661095E+002
 1.7388000E+005, 1.0478410E+002, 1.4662685E+002
 1.7451000E+005, 1.0499613E+002, 1.4664267E+002
 1.7514000E+005, 1.0520716E+002, 1.4665842E+002
 1.7577000E+005, 1.0541721E+002, 1.4667409E+002
 1.7640000E+005, 1.0562627E+002, 1.4668969E+002
 1.7703000E+005, 1.0583435E+002, 1.4670522E+002
 1.7766000E+005, 1.0604146E+002, 1.4672067E+002
 1.7829000E+005, 1.0624759E+002, 1.4673605E+002
 1.7892000E+005, 1.0645276E+002, 1.4675136E+002
 1.7955000E+005, 1.0665697E+002, 1.4676660E+002
 1.8018000E+005, 1.0686022E+002, 1.4678177E+002
 1.8081000E+005, 1.0706252E+002, 1.4679686E+002
 1.8144000E+005, 1.0726387E+002, 1.4681189E+002
 1.8207000E+005, 1.0746427E+002, 1.4682684E+002
 1.8270000E+005, 1.0766374E+002, 1.4684172E+002
 1.8333000E+005, 1.0786227E+002, 1.4685654E+002
 1.8396000E+005, 1.0805987E+002, 1.4687128E+002
 1.8459000E+005, 1.0825654E+002, 1.4688595E+002
 1.8522000E+005, 1.0845230E+002, 1.4690056E+002
 1.8585000E+005, 1.0864713E+002, 1.4691510E+002
 1.8648000E+005, 1.0884105E+002, 1.4692956E+002
 1.8711000E+005, 1.0903406E+002, 1.4694397E+002
 1.8774000E+005, 1.0922617E+002, 1.4695830E+002
 1.8837000E+005, 1.0941738E+002, 1.4697256E+002
 1.8900000E+005, 1.0960769E+002, 1.4698676E+002
 1.8963000E+005, 1.0979711E+002, 1.4700090E+002
 1.9026000E+005, 1.0998564E+002, 1.4701496E+002
 1.9089000E+005, 1.1017328E+002, 1.4702896E+002
 1.9152000E+005, 1.1036005E+002, 1.4704290E+002
 1.9215000E+005, 1.1054594E+002, 1.4705676E+002
 1.9278000E+005, 1.1073096E+002, 1.4707057E+002
 1.9341000E+005, 1.1091511E+002, 1.4708431E+002
 1.9404000E+005, 1.1109840E+002, 1.4709798E+002
 1.9467000E+005, 1.1128083E+002, 1.4711159E+002
 1.9530000E+005, 1.1146240E+002, 1.4712514E+002
 1.9593000E+005, 1.1164312E+002, 1.4713862E+002
 1.9656000E+005, 1.1182300E+002, 1.4715204E+002
 1.9719000E+005, 1.1200203E+002, 1.4716540E+002
 1.9782000E+005, 1.1218022E+002, 1.4717869E+002
 1.9845000E+005, 1.1235758E+002, 1.4719192E+002
 1.9908000E+005, 1.1253410E+002, 1.4720509E+002
 1.9971000E+005, 1.1270980E+002, 1.4721820E+002
 2.0034000E+005, 1.1288468E+002, 1.4723125E+002
 2.0097000E+005, 1.1305873E+002, 1.4724423E+002
 2.0160000E+005, 1.1323197E+002, 1.4725716E+002
 2.0223000E+005, 1.1340439E+002, 1.4727002E+002
 2.0286000E+005, 1.1357601E+002, 1.4728282E+002
 2.0349000E+005, 1.1374682E+002, 1.4729556E+002
 2.0412000E+005, 1.1391683E+002, 1.4730825E+002
 2.0475000E+005, 1.1408604E+002, 1.4732087E+002
 2.0538000E+005, 1.1425446E+002, 1.4733344E+002
 2.0601000E+005, 1.1442210E+002, 1.4734594E+002
 2.0664000E+005, 1.1458894E+002, 1.4735839E+002
 2.0727000E+005, 1.1475500E+002, 1.4737078E+002
 2.0790000E+005, 1.1492029E+002, 1.4738311E+002
 2.0853000E+005, 1.1508479E+002, 1.4739538E+002
 2.0916000E+005, 1.1524853E+002, 1.4740760E+002
 2.0979000E+005, 1.1541150E+002, 1.4741975E+002
 2.1042000E+005, 1.1557371E+002, 1.4743185E+002
 2.1105000E+005, 1.1573515E+002, 1.4744390E+002
 2.1168000E+005, 1.1589584E+002, 1.4745589E+002
 2.1231000E+005, 1.1605577E+002, 1.4746782E+002
 2.1294000E+005, 1.1621496E+002, 1.4747969E+002
 2.1357000E+005, 1.1637339E+002, 1.4749151E+002
 2.1420000E+005, 1.1653109E+002, 1.4750328E+002
 2.1483000E+005, 1.1668804E+002, 1.4751498E+002
 2.1546000E+005, 1.1684426E+002, 1.4752664E+002
 2.1609000E+005, 1.1699975E+002, 1.4753824E+002
 2.1672000E+005, 1.1715450E+002, 1.4754978E+002
 2.1735000E+005, 1.1730854E+002, 1.4756127E+002
 2.1798000E+005, 1.1746185E+002, 1.4757271E+002
 2.1861000E+005, 1.1761444E+002, 1.4758409E+002
 2.1924000E+005, 1.1776631E+002, 1.4759542E+002
 2.1987000E+005, 1.1791747E+002, 1.4760670E+002
 2.2050000E+005, 1.1806793E+002, 1.4761792E+002
 2.2113000E+005, 1.1821768E+002, 1.4762909E+002
 2.2176000E+005, 1.1836672E+002, 1.4764021E+002
 2.2239000E+005, 1.1851507E+002, 1.4765128E+002
 2.2302000E+005, 1.1866272E+002, 1.4766229E+002
 2.2365000E+005, 1.1880968E+002, 1.4767326E+002
 2.2428000E+005, 1.1895595E+002, 1.4768417E+002
 2.2491000E+005, 1.1910153E+002, 1.4769503E+002
 2.2554000E+005, 1.1924643E+002, 1.4770584E+002
 2.2617000E+005, 1.1939066E+002, 1.4771660E+002
 2.2680000E+005, 1.1953420E+002, 1.4772731E+002
 2.2743000E+005, 1.1967707E+002, 1.4773796E+002
 2.2806000E+005, 1.1981928E+002, 1.4774857E+002
 2.2869000E+005, 1.1996081E+002, 1.4775913E+002
 2.2932000E+005, 1.2010168E+002, 1.4776964E+002
 2.2995000E+005, 1.2024189E+002, 1.4778010E+002
 2.3058000E+005, 1.2038145E+002, 1.4779051E+002
 2.3121000E+005, 1.2052035E+002, 1.4780087E+002
 2.3184000E+005, 1.2065859E+002, 1.4781119E+002
 2.3247000E+005, 1.2079619E+002, 1.4782145E+002
 2.3310000E+005, 1.2093315E+002, 1.4783167E+002
 2.3373000E+005, 1.2106946E+002, 1.4784184E+002
 2.3436000E+005, 1.2120513E+002, 1.4785196E+002
 2.3499000E+005, 1.2134017E+002, 1.4786203E+002
 2.3562000E+005, 1.2147457E+002, 1.4787206E+002
 2.3625000E+005, 1.2160834E+002, 1.4788204E+002
 2.3688000E+005, 1.2174149E+002, 1.4789197E+002
 2.3751000E+005, 1.2187401E+002, 1.4790185E+002
 2.3814000E+005, 1.2200591E+002, 1.4791169E+002
 2.3877000E+005, 1.2213719E+002, 1.4792149E+002
 2.3940000E+005, 1.2226786E+002, 1.4793123E+002
 2.4003000E+005, 1.2239791E+002, 1.4794094E+002
 2.4066000E+005, 1.2252735E+002, 1.4795059E+002
 2.4129000E+005, 1.2265619E+002, 1.4796020E+002
 2.4192000E+005, 1.2278442E+002, 1.4796977E+002
 2.4255000E+005, 1.2291205E+002, 1.4797929E+002
 2.4318000E+005, 1.2303908E+002, 1.4798877E+002
 2.4381000E+005, 1.2316552E+002, 1.4799820E+002
 2.4444000E+005, 1.2329136E+002, 1.4800759E+002
 2.4507000E+005, 1.2341661E+002, 1.4801693E+002
 2.4570000E+005, 1.2354128E+002, 1.4802623E+002
 2.4633000E+005, 1.2366536E+002, 1.4803549E+002
 2.4696000E+005, 1.2378886E+002, 1.4804470E+002
 2.4759000E+005, 1.2391178E+002, 1.4805387E+002
 2.4822000E+005, 1.2403412E+002, 1.4806300E+002
 2.4885000E+005, 1.2415589E+002, 1.4807208E+002
 2.4948000E+005, 1.2427709E+002, 1.4808112E+002
 2.5011000E+005, 1.2439772E+002, 1.4809012E+002
 2.5074000E+005, 1.2451779E+002, 1.4809908E+002
 2.5137000E+005, 1.2463729E+002, 1.4810799E+002
 2.5200000E+005, 1.2475623E+002, 1.4811686E+002
 2.5263000E+005, 1.2487461E+002, 1.4812569E+002
 2.5326000E+005, 1.2499244E+002, 1.4813448E+002
 2.5389000E+005, 1.2510972E+002, 1.4814323E+002
 2.5452000E+005, 1.2522644E+002, 1.4815194E+002
 2.5515000E+005, 1.2534262E+002, 1.4816061E+002
 2.5578000E+005, 1.2545825E+002, 1.4816923E+002
 2.5641000E+005, 1.2557335E+002, 1.4817782E+002
 2.5704000E+005, 1.2568790E+002, 1.4818636E+002
 2.5767000E+005, 1.2580191E+002, 1.4819487E+002
 2.5830000E+005, 1.2591539E+002, 1.4820333E+002
 2.5893000E+005, 1.2602834E+002, 1.4821176E+002
 2.5956000E+005, 1.2614076E+002, 1.4822015E+002
 2.6019000E+005, 1.2625265E+002, 1.4822849E+002
 2.6082000E+005, 1.2636401E+002, 1.4823680E+002
 2.6145000E+005, 1.2647486E+002, 1.4824507E+002
 2.6208000E+005, 1.2658518E+002, 1.4825330E+002
 2.6271000E+005, 1.2669499E+002, 1.4826149E+002
 2.6334000E+005, 1.2680428E+002, 1.4826964E+002
 2.6397000E+005, 1.2691306E+002, 1.4827776E+002
 2.6460000E+005, 1.2702132E+002, 1.4828584E+002
 2.6523000E+005, 1.2712909E+002, 1.4829387E+002
 2.6586000E+005, 1.2723634E+002, 1.4830187E+002
 2.6649000E+005, 1.2734309E+002, 1.4830984E+002
 2.6712000E+005, 1.2744935E+002, 1.4831776E+002
 2.6775000E+005, 1.2755510E+002, 1.4832565E+002
 2.6838000E+005, 1.2766036E+002, 1.4833351E+002
 2.6901000E+005, 1.2776512E+002, 1.4834132E+002
 2.6964000E+005, 1.2786939E+002, 1.4834910E+002
 2.7027000E+005, 1.2797318E+002, 1.4835684E+002
 2.7090000E+005, 1.2807648E+002, 1.4836455E+002
 2.7153000E+005, 1.2817929E+002, 1.4837222E+002
 2.7216000E+005, 1.2828162E+002, 1.4837985E+002
 2.7279000E+005, 1.2838347E+002, 1.4838745E+002
 2.7342000E+005, 1.2848484E+002, 1.4839501E+002
 2.7405000E+005, 1.2858574E+002, 1.4840254E+002
 2.7468000E+005, 1.2868616E+002, 1.4841003E+002
 2.7531000E+005, 1.2878612E+002, 1.4841749E+002
 2.7594000E+005, 1.2888560E+002, 1.4842491E+002
 2.7657000E+005, 1.2898462E+002, 1.4843229E+002
 2.7720000E+005, 1.2908317E+002, 1.4843965E+002
 2.7783000E+005, 1.2918127E+002, 1.4844696E+002
 2.7846000E+005, 1.2927890E+002, 1.4845425E+002
 2.7909000E+005, 1.2937607E+002, 1.4846149E+002
 2.7972000E+005, 1.2947279E+002, 1.4846871E+002
 2.8035000E+005, 1.2956905E+002, 1.4847589E+002
 2.8098000E+005, 1.2966487E+002, 1.4848304E+002
 2.8161000E+005, 1.2976023E+002, 1.4849015E+002
 2.8224000E+005, 1.2985515E+002, 1.4849723E+002
 2.8287000E+005, 1.2994962E+002, 1.4850428E+002
 2.8350000E+005, 1.3004365E+002, 1.4851129E+002
 2.8413000E+005, 1.3013724E+002, 1.4851828E+002
 2.8476000E+005, 1.3023038E+002, 1.4852523E+002
 2.8539000E+005, 1.3032310E+002, 1.4853214E+002
 2.8602000E+005, 1.3041537E+002, 1.4853902E+002
 2.8665000E+005, 1.3050722E+002, 1.4854588E+002
 2.8728000E+005, 1.3059863E+002, 1.4855270E+002
 2.8791000E+005, 1.3068962E+002, 1.4855948E+002
 2.8854000E+005, 1.3078017E+002, 1.4856624E+002
 2.8917000E+005, 1.3087031E+002, 1.4857296E+002
 2.8980000E+005, 1.3096002E+002, 1.4857965E+002
 2.9043000E+005, 1.3104931E+002, 1.4858632E+002
 2.9106000E+005, 1.3113818E+002, 1.4859294E+002
 2.9169000E+005, 1.3122663E+002, 1.4859954E+002
